Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.0000	0.2917	  0	0.2917	0.0000
0.4583	0.4583	0.4792	0.4792	0.4583	0.4583	0.4792	0.4583	0.4583	0.4583	0.4792	0.4583	0.4583	0.4792	0.4792	0.4583	0.4583	0.4583	0.4792	0.4583	0.4583	0.4583	0.4792	0.4583	0.4583	0.4792	0.4583	0.4792	0.4583	0.4583	0.4583	0.4583	0.4648	0.0098	0.4583	 10	0.4583	0.0000
0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6667	0.6458	0.6458	0.6250	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6667	0.6458	0.6667	0.6458	0.6458	0.6458	0.6471	0.0074	0.6458	  4	0.6458	0.0000
0.8125	0.8333	0.8125	0.8333	0.8333	0.8333	0.8125	0.8333	0.8333	0.8333	0.8333	0.8125	0.8125	0.8125	0.8333	0.8125	0.8333	0.8125	0.8333	0.8125	0.8333	0.8125	0.8333	0.8333	0.8333	0.8333	0.8125	0.8125	0.8333	0.8125	0.8125	0.8125	0.8236	0.0106	0.8333	 15	0.8333	0.0000
0.9792	0.9792	1.0000	1.0000	1.0000	1.0417	1.0000	1.0000	0.9792	1.0000	1.0000	1.0000	1.0000	1.0208	1.0000	1.0000	1.0208	0.9792	1.0000	1.0000	1.0000	1.0000	1.0000	0.9792	1.0000	1.0000	1.0000	1.0208	1.0000	1.0000	1.0000	1.0000	1.0000	0.0130	1.0000	  9	1.0000	0.0000
1.2917	1.2917	1.2917	1.2708	1.2708	1.2917	1.2708	1.3125	1.2708	1.2708	1.2917	1.2708	1.2917	1.2708	1.2708	1.2708	1.2708	1.2708	1.2708	1.2708	1.3125	1.2917	1.2708	1.3125	1.2500	1.2708	1.3125	1.3125	1.2708	1.2708	1.2917	1.2917	1.2826	0.0167	1.2708	 15	1.2708	0.0000
1.5208	1.5625	1.5417	1.5208	1.5625	1.5833	1.5208	1.5208	1.5208	1.5000	1.5208	1.5208	1.5417	1.5833	1.5417	1.5208	1.5417	1.5208	1.5208	1.5208	1.5208	1.5208	1.5208	1.5208	1.5208	1.5417	1.5833	1.5208	1.5417	1.5000	1.5208	1.5417	1.5326	0.0218	1.5208	 14	1.5208	0.0000
1.7708	1.8125	1.8125	1.8125	1.8333	1.8333	1.8333	1.7917	1.8333	1.8125	1.7708	1.7917	1.7708	1.7917	1.8125	1.7917	1.7917	1.7917	1.8125	1.8333	1.8125	1.8333	1.8125	1.8333	1.7917	1.8333	1.8333	1.7917	1.8333	1.8125	1.8125	1.7708	1.8086	0.0215	1.8125	  0	1.8086	0.0215
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.0000	0.2917	  0	0.2917	0.0000
0.4583	0.4583	0.4792	0.4792	0.4583	0.4792	0.4792	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4792	0.4792	0.4583	0.4583	0.4583	0.4792	0.4583	0.4583	0.4583	0.4792	0.4583	0.4583	0.4792	0.4583	0.4792	0.4583	0.4583	0.4583	0.4583	0.4648	0.0098	0.4583	 10	0.4583	0.0000
0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6667	0.6458	0.6458	0.6250	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6667	0.6458	0.6458	0.6458	0.6465	0.0064	0.6458	  3	0.6458	0.0000
0.8125	0.8333	0.8125	0.8333	0.8333	0.8333	0.8125	0.8542	0.8125	0.8333	0.8333	0.8125	0.8125	0.8125	0.8125	0.8125	0.8333	0.8125	0.8333	0.8125	0.8333	0.8125	0.8333	0.8333	0.8333	0.8333	0.8125	0.8125	0.8333	0.8125	0.8125	0.8125	0.8229	0.0118	0.8125	 15	0.8125	0.0000
