ch	pt	fine_thr	disc_thr	events	trigg
 0	 0	 0	200	 1000	    0
 0	 0	 0	201	 1000	    0
 0	 0	 0	202	 1000	    0
 0	 0	 0	203	 1000	    0
 0	 0	 0	204	 1000	    0
 0	 0	 0	205	 1000	    0
 0	 0	 0	206	 1000	    0
 0	 0	 0	207	 1000	    0
 0	 0	 0	208	 1000	    0
 0	 0	 0	209	 1000	    0
 0	 0	 0	210	 1000	    0
 0	 0	 0	211	 1000	    0
 0	 0	 0	212	 1000	    3
 0	 0	 0	213	 1000	    4
 0	 0	 0	214	 1000	   11
 0	 0	 0	215	 1000	   12
 0	 0	 0	216	 1000	   16
 0	 0	 0	217	 1000	   49
 0	 0	 0	218	 1000	   96
 0	 0	 0	219	 1000	  268
 0	 0	 0	220	 1000	  837
 0	 0	 0	221	 1000	  932
 0	 0	 0	222	 1000	  964
 0	 0	 0	223	 1000	  970
 0	 0	 0	224	 1000	  979
 0	 0	 0	225	 1000	  990
 0	 0	 0	226	 1000	  991
 0	 0	 0	227	 1000	  993
 0	 0	 0	228	 1000	  998
 0	 0	 0	229	 1000	  996
 0	 0	 0	230	 1000	  997
 0	 0	 0	231	 1000	  998
 0	 0	 0	232	 1000	 1000
 0	 0	 0	233	 1000	 1000
 0	 0	 0	234	 1000	 1000
 0	 0	 0	235	 1000	 1000
 0	 0	 0	236	 1000	 1000
 0	 0	 0	237	 1000	 1000
 0	 0	 0	238	 1000	 1000
 0	 0	 0	239	 1000	 1000
 0	 0	 0	240	 1000	 1000
 0	 0	 0	241	 1000	 1000
 0	 0	 0	242	 1000	 1000
 0	 0	 0	243	 1000	 1000
 0	 0	 0	244	 1000	 1000
 0	 0	 0	245	 1000	 1000
 0	 0	 0	246	 1000	 1000
 0	 0	 0	247	 1000	 1000
 0	 0	 0	248	 1000	 1000
 0	 0	 0	249	 1000	 1000
 0	 0	 0	250	 1000	 1000
 0	 0	 0	251	 1000	 1000
 0	 0	 0	252	 1000	 1000
 0	 0	 0	253	 1000	 1000
 0	 0	 0	254	 1000	 1000
 0	 0	 0	255	 1000	 1000
 0	 0	 1	200	 1000	    0
 0	 0	 1	201	 1000	    0
 0	 0	 1	202	 1000	    0
 0	 0	 1	203	 1000	    0
 0	 0	 1	204	 1000	    0
 0	 0	 1	205	 1000	    0
 0	 0	 1	206	 1000	    0
 0	 0	 1	207	 1000	    0
 0	 0	 1	208	 1000	    0
 0	 0	 1	209	 1000	    0
 0	 0	 1	210	 1000	    3
 0	 0	 1	211	 1000	    2
 0	 0	 1	212	 1000	    7
 0	 0	 1	213	 1000	   10
 0	 0	 1	214	 1000	   12
 0	 0	 1	215	 1000	   30
 0	 0	 1	216	 1000	   50
 0	 0	 1	217	 1000	   79
 0	 0	 1	218	 1000	  289
 0	 0	 1	219	 1000	  832
 0	 0	 1	220	 1000	  929
 0	 0	 1	221	 1000	  968
 0	 0	 1	222	 1000	  981
 0	 0	 1	223	 1000	  978
 0	 0	 1	224	 1000	  982
 0	 0	 1	225	 1000	  996
 0	 0	 1	226	 1000	  998
 0	 0	 1	227	 1000	  998
 0	 0	 1	228	 1000	  997
 0	 0	 1	229	 1000	  998
 0	 0	 1	230	 1000	 1000
 0	 0	 1	231	 1000	 1000
 0	 0	 1	232	 1000	  998
 0	 0	 1	233	 1000	 1000
 0	 0	 1	234	 1000	 1000
 0	 0	 1	235	 1000	 1000
 0	 0	 1	236	 1000	 1000
 0	 0	 1	237	 1000	 1000
 0	 0	 1	238	 1000	 1000
 0	 0	 1	239	 1000	 1000
 0	 0	 1	240	 1000	 1000
 0	 0	 1	241	 1000	 1000
 0	 0	 1	242	 1000	 1000
 0	 0	 1	243	 1000	 1000
 0	 0	 1	244	 1000	 1000
 0	 0	 1	245	 1000	 1000
 0	 0	 1	246	 1000	 1000
 0	 0	 1	247	 1000	 1000
 0	 0	 1	248	 1000	 1000
 0	 0	 1	249	 1000	 1000
 0	 0	 1	250	 1000	 1000
 0	 0	 1	251	 1000	 1000
 0	 0	 1	252	 1000	 1000
 0	 0	 1	253	 1000	 1000
 0	 0	 1	254	 1000	 1000
 0	 0	 1	255	 1000	 1000
 0	 0	 2	200	 1000	    0
 0	 0	 2	201	 1000	    0
 0	 0	 2	202	 1000	    0
 0	 0	 2	203	 1000	    0
 0	 0	 2	204	 1000	    0
 0	 0	 2	205	 1000	    0
 0	 0	 2	206	 1000	    0
 0	 0	 2	207	 1000	    0
 0	 0	 2	208	 1000	    0
 0	 0	 2	209	 1000	    7
 0	 0	 2	210	 1000	    6
